OBJECTID,ROADWAY,ROAD_SIDE,LNCD,DESCR,BEGIN_POST,END_POST,Shape_Leng
2186,87080001,R,1,DESIGNATED,2.288,2.525,376.2235
2187,87080347,R,1,DESIGNATED,0,0.108,175.0217
2188,75050000,R,1,DESIGNATED,5.18,5.89,1143.0862
2189,75251000,R,1,DESIGNATED,0.105,2.165,3320.9447
2190,75260000,R,1,DESIGNATED,2.206,2.272,106.4475
2191,86000284,C,1,DESIGNATED,0.039,0.26,361.5053
2192,86000404,L,1,DESIGNATED,0,0.486,781.4595
2193,86005000,L,1,DESIGNATED,0.349,0.814,754.9078
2194,86010000,L,1,DESIGNATED,0,0.768,1233.9772
2195,86030000,L,1,DESIGNATED,3.972,4.089,188.7439
2196,75000356,L,1,DESIGNATED,0.089,1.913,2935.3756
2197,75000106,L,1,DESIGNATED,0,1.01,1616.4792
2198,58514000,C,1,DESIGNATED,0,0.528,850.7589
2199,58140000,R,1,DESIGNATED,0.084,0.291,335.164
2200,58140000,R,1,DESIGNATED,0,0.009,14.5651
2201,58140000,L,1,DESIGNATED,0,0.291,471.1941
2202,74110000,L,1,DESIGNATED,4.883,5.693,1309.6127
2203,74130000,L,1,DESIGNATED,3.306,3.781,764.4687
2205,75050000,L,1,DESIGNATED,0.421,1.271,1368.5249
2206,75050000,L,1,DESIGNATED,4.414,4.585,275.3783
2207,75000403,R,1,DESIGNATED,0,0.076,122.2331
2208,75000404,L,1,DESIGNATED,0.648,0.806,254.8753
2209,89000013,L,1,DESIGNATED,1.247,1.361,183.7584
2210,89010000,R,1,DESIGNATED,21.722,21.767,72.4309
2211,89030000,R,1,DESIGNATED,26.6,28.465,3001.4453
2212,57040000,R,1,DESIGNATED,12.258,13.137,1419.4871
2213,57040000,R,1,DESIGNATED,8.882,8.987,169.6151
2214,57040000,R,1,DESIGNATED,8.207,8.287,129.231
2215,57040000,R,1,DESIGNATED,6.252,6.48,368.2383
2217,86000052,L,1,DESIGNATED,0.141,0.993,1371.0287
2218,61060001,L,1,DESIGNATED,0,0.095,152.4303
2219,61060001,C,1,DESIGNATED,0.095,0.15,89.645
2220,70004000,L,1,DESIGNATED,2.321,3.75,2303.7672
2221,72080000,R,1,DESIGNATED,8.448,10.416,3171.1268
2222,72220001,R,1,DESIGNATED,0,0.184,293.7953
2223,79010000,L,1,DESIGNATED,27.484,27.79,492.2827
2224,79160000,L,1,DESIGNATED,0.254,1.748,2403.9619
2225,78510000,R,1,DESIGNATED,5.5,5.814,505.3325
2226,78510000,R,1,DESIGNATED,6.892,7.037,233.2656
2227,79000010,L,1,DESIGNATED,0.819,1.845,1653.4896
2228,78070000,L,1,DESIGNATED,14.418,17.294,4625.588
2229,78510000,L,1,DESIGNATED,6.043,6.228,297.7464
2230,76020000,R,1,DESIGNATED,19.39,19.759,594.0141
2231,76050000,R,1,DESIGNATED,0,8.927,14361.2919
2232,87150000,R,1,DESIGNATED,3.329,3.531,324.4054
2233,87504504,L,1,DESIGNATED,0.783,0.868,136.8635
2234,87504504,L,1,DESIGNATED,1.406,1.494,141.695
2235,88060000,L,1,DESIGNATED,31.192,32.148,1540.7805
2236,88070000,L,1,DESIGNATED,0,5.41,8706.6925
2237,86040000,L,1,DESIGNATED,5.07,10.496,8727.4181
2238,86040000,R,1,DESIGNATED,11.21,13.26,3297.3785
2239,87080001,R,1,DESIGNATED,0.937,1.043,167.9676
2240,87080001,R,1,DESIGNATED,1.53,1.718,297.2984
2241,87150000,L,1,DESIGNATED,1.177,2.22,1674.9075
2242,75220000,L,1,DESIGNATED,0,1.726,2786.5597
2243,75250000,R,1,DESIGNATED,3.082,4.812,2783.1684
2244,86000120,C,1,DESIGNATED,0.821,0.884,101.4279
2245,86000460,R,1,DESIGNATED,0.734,1.89,1858.8877
2247,86018000,R,1,DESIGNATED,5.007,5.16,245.8649
2248,86028000,R,1,DESIGNATED,0,0.17,273.7604
2249,75000313,L,1,DESIGNATED,0.046,0.427,614.0199
2250,75000313,R,1,DESIGNATED,1.81,2.684,1408.3418
2251,58050100,C,1,DESIGNATED,0,0.188,303.8305
2252,58050000,R,1,DESIGNATED,2.116,4.85,4417.9298
2253,58050000,L,1,DESIGNATED,2.116,4.85,4417.9298
2254,58040100,R,1,DESIGNATED,0,0.177,282.8223
2255,74060000,L,1,DESIGNATED,0.308,7.028,10797.681
2256,74000021,L,1,DESIGNATED,1.415,1.715,482.6988
2257,74040000,L,1,DESIGNATED,30.033,30.548,828.9383
2258,75010000,R,1,DESIGNATED,0.315,4.095,6085.6509
2259,75040000,L,1,DESIGNATED,8.755,8.83,120.7609
2260,75000374,L,1,DESIGNATED,0.133,1.202,1719.7919
2261,75000402,L,1,DESIGNATED,0.769,1.713,1528.0913
2262,75000456,L,1,DESIGNATED,0,0.363,583.7172
2263,89010000,L,1,DESIGNATED,5.021,9.16,6661.4554
2264,89010000,R,1,DESIGNATED,5.035,9.11,6558.4238
2265,90000531,L,1,DESIGNATED,1.523,2.51,1588.7717
2266,57040000,L,1,DESIGNATED,16.06,19.945,6274.0301
2267,57040000,L,1,DESIGNATED,12.158,13.14,1585.8398
2268,57040000,L,1,DESIGNATED,10.66,11.225,912.3365
2269,57040000,L,1,DESIGNATED,7.77,7.865,153.3898
2270,73010000,R,1,DESIGNATED,4.777,5.813,1667.3014
2271,79210000,L,1,DESIGNATED,2.207,3.972,2843.8707
2272,86000006,L,1,DESIGNATED,0,3.079,4964.3072
2273,70000417,L,1,DESIGNATED,0.208,0.598,627.9151
2275,72170000,R,1,DESIGNATED,5.717,6.22,809.068
2276,72193000,R,1,DESIGNATED,0.141,0.555,666.5067
2277,79120000,L,1,DESIGNATED,2.406,7.301,7876.0786
2278,79150000,L,1,DESIGNATED,1.11,1.416,489.4439
2279,16180000,R,1,DESIGNATED,9.735,9.786,82.2124
2280,16070000,L,1,DESIGNATED,3.679,3.919,386.7274
2281,15140000,L,1,DESIGNATED,4.011,6.752,4412.9202
2282,87020600,L,1,DESIGNATED,6.415,11.401,8021.4064
2283,87020600,L,1,DESIGNATED,0,2.264,3642.3242
2284,94050000,L,1,DESIGNATED,16.89,16.975,136.7622
2285,94050000,R,1,DESIGNATED,13.155,14.815,2670.1273
2286,15020000,C,1,DESIGNATED,7.098,7.242,231.5501
2287,18000070,R,1,DESIGNATED,0.135,0.219,134.9234
2288,18000071,L,1,DESIGNATED,0.071,0.858,1266.1477
2289,17180000,L,1,DESIGNATED,2.777,3.074,478.6567
2290,18000067,R,1,DESIGNATED,0.159,0.82,1063.939
2291,86200000,R,1,DESIGNATED,2.487,2.635,238.4979
2292,86200000,R,1,DESIGNATED,0,0.224,361.0121
2293,86200000,L,1,DESIGNATED,3.999,5.429,2304.5994
2294,86200000,L,1,DESIGNATED,2.469,2.659,306.2666
2295,86200000,L,1,DESIGNATED,1.956,1.994,61.2485
2296,86200000,L,1,DESIGNATED,0,0.049,78.9881
2297,15000465,R,1,DESIGNATED,0,0.177,287.0423
2298,15000464,R,1,DESIGNATED,0,0.386,621.87
2299,46130000,L,1,DESIGNATED,2.754,2.999,395.0336
2300,46140000,L,1,DESIGNATED,1.198,1.928,1175.5531
2301,46510000,R,1,DESIGNATED,3.51,3.596,138.5805
2302,46010000,R,1,DESIGNATED,15.61,15.769,256.7569
2303,46060000,L,1,DESIGNATED,2.462,5.143,4324.5071
2304,36009000,R,1,DESIGNATED,1.41,1.486,122.1569
2305,36070000,L,1,DESIGNATED,19.095,20.586,2401.141
2306,26090000,R,1,DESIGNATED,9.775,9.826,82.1579
2307,26130000,R,1,DESIGNATED,2.818,5.875,4921.6435
2308,36000004,L,1,DESIGNATED,0,2.457,3967.6406
2309,90030000,R,1,DESIGNATED,1.544,2.051,813.0513
2310,93180000,R,1,DESIGNATED,10.244,10.297,85.4292
2311,93180000,R,1,DESIGNATED,8.488,8.627,224.1022
2312,93180000,R,1,DESIGNATED,7.238,8.385,1849.4685
2313,93180000,R,1,DESIGNATED,4.834,7.069,3603.559
2314,93180000,R,1,DESIGNATED,4.268,4.755,785.206
2315,93180000,R,1,DESIGNATED,3.629,4.213,941.7835
2316,92550004,L,1,DESIGNATED,0,0.189,302.9434
2317,92550001,C,1,DESIGNATED,0.538,2.349,2914.8662
2318,92550000,R,1,DESIGNATED,6.344,7.782,2313.3935
2319,92550000,R,1,DESIGNATED,0.785,3.009,3577.6798
2320,93040000,L,1,DESIGNATED,9.271,10.006,1181.4933
2321,93040000,L,1,DESIGNATED,8.961,9.011,80.3507
2322,93030000,R,1,DESIGNATED,3.575,6.619,4906.5529
2323,90030000,L,1,DESIGNATED,1.505,2.051,875.5653
2324,90020000,R,1,DESIGNATED,22.912,25.022,3389.7996
2325,90020000,R,1,DESIGNATED,19.956,20.448,790.4117
2326,90020000,R,1,DESIGNATED,6.355,14.921,13761.6249
2327,94010000,L,1,DESIGNATED,0,8.361,13430.883
2328,93180000,R,1,DESIGNATED,1.805,3.504,2739.4361
2329,93180000,R,1,DESIGNATED,0.964,1.735,1243.1718
2330,93180000,R,1,DESIGNATED,0.135,0.866,1178.6281
2331,93180000,R,1,DESIGNATED,0.018,0.037,30.63
2332,92550000,L,1,DESIGNATED,6.344,7.782,2313.3935
2333,92550000,L,1,DESIGNATED,0.785,3.032,3614.619
2334,92090000,R,1,DESIGNATED,0,0.048,74.0083
2335,92090000,L,1,DESIGNATED,0,0.126,199.4858
2336,93030000,R,1,DESIGNATED,0.788,1.957,1884.2049
2337,93030000,R,1,DESIGNATED,0.776,0.788,19.3417
2338,93030000,L,1,DESIGNATED,3.583,4.274,1113.6915
2339,78520000,R,1,DESIGNATED,16.153,17.061,1461.3936
2340,78550000,R,1,DESIGNATED,1.145,1.633,785.2382
2341,78040000,L,1,DESIGNATED,3.09,7.344,6845.9185
2342,78051000,R,1,DESIGNATED,10.4,17.762,11844.1606
2343,75270000,R,1,DESIGNATED,0.659,0.729,113.2308
2344,78000009,R,1,DESIGNATED,0,0.15,241.3059
2345,78002000,R,1,DESIGNATED,2.594,2.827,375.3242
2346,87504503,R,1,DESIGNATED,1.785,2.035,402.8322
2347,87504504,L,1,DESIGNATED,0.077,0.173,154.5897
2348,88010000,L,1,DESIGNATED,9.779,10.029,402.805
2349,88010000,R,1,DESIGNATED,1.85,4.065,3569.0518
2350,86030000,L,1,DESIGNATED,4.18,4.252,116.1718
2351,87062000,R,1,DESIGNATED,0.503,1.957,2336.963
2352,87071502,R,1,DESIGNATED,1.165,2.241,1731.3897
2353,87090000,R,1,DESIGNATED,4.155,4.999,1359.4969
2354,87120000,R,1,DESIGNATED,5.028,5.695,1071.4698
2355,75080000,R,1,DESIGNATED,8.678,8.88,325.0838
2356,75120001,R,1,DESIGNATED,0.269,0.348,124.6264
2357,86000445,R,1,DESIGNATED,0,0.692,1104.4929
2358,86000453,L,1,DESIGNATED,1.031,2.118,1749.9874
2359,86014000,L,1,DESIGNATED,9.738,9.893,249.31
2360,86015000,L,1,DESIGNATED,0,6.663,10716.0613
2361,75000236,L,1,DESIGNATED,4.599,5.477,1412.3436
2362,58040100,L,1,DESIGNATED,0,0.177,282.8223
2363,58040000,R,1,DESIGNATED,17.7,19.769,3343.9119
2364,58040000,R,1,DESIGNATED,0.219,6.692,10461.6154
2365,58040000,L,1,DESIGNATED,17.7,19.769,3343.9119
2366,73020000,L,1,DESIGNATED,4.995,7.004,3229.0825
2367,75002000,L,1,DESIGNATED,2.933,3.148,346.0744
2368,75002000,R,1,DESIGNATED,6.874,7.578,1133.3589
2369,75000447,C,1,DESIGNATED,1.01,4.873,6215.4732
2370,75000452,R,1,DESIGNATED,0,0.315,508.6955
2371,89000056,R,1,DESIGNATED,0.443,0.552,176.5482
2372,89000058,R,1,DESIGNATED,0.176,0.72,878.2429
2373,89040000,R,1,DESIGNATED,3.335,4.825,2398.6308
2374,89092000,R,1,DESIGNATED,1.682,3.166,2386.9081
2375,57040000,L,1,DESIGNATED,4.72,5.275,896.4068
2376,57030030,R,1,DESIGNATED,21.056,24.529,5602.8537
2377,57030030,L,1,DESIGNATED,20.947,24.529,5778.7715
2378,57030000,R,1,DESIGNATED,12.465,12.89,686.2415
2379,57030000,R,1,DESIGNATED,3.215,3.296,130.805
2380,57030000,L,1,DESIGNATED,13.28,15.38,3391.1116
2381,73010000,R,1,DESIGNATED,0.824,4.688,6218.6177
2382,73010000,R,1,DESIGNATED,0.336,0.727,629.257
2384,79190000,L,1,DESIGNATED,3.047,6.127,4961.739
2385,86000092,R,1,DESIGNATED,0.344,0.454,176.6205
2386,70000056,L,1,DESIGNATED,1.398,1.881,778.7616
2387,72120000,L,1,DESIGNATED,16.376,16.421,72.4859
2388,72160000,L,1,DESIGNATED,12.804,13.709,1455.9187
2389,79070000,L,1,DESIGNATED,20.005,26.974,11188.3755
2390,79070001,R,1,DESIGNATED,0.684,0.862,289.9457
2391,78520000,C,1,DESIGNATED,12.703,12.76,91.7275
2392,78520000,L,1,DESIGNATED,21.007,21.217,337.9557
2393,78002900,L,1,DESIGNATED,0.801,1.009,336.0379
2394,78010000,L,1,DESIGNATED,11.857,16.102,6834.36
2395,78510000,L,1,DESIGNATED,7.961,7.987,41.886
2396,77080000,R,1,DESIGNATED,0,4.4,7069.4719
2397,77120000,R,1,DESIGNATED,4.162,4.987,1327.1098
2398,87220000,L,1,DESIGNATED,0.373,1.167,1272.4261
2399,87250000,R,1,DESIGNATED,0.564,0.691,204.3103
2400,87504504,R,1,DESIGNATED,0.893,1.024,210.9513
2401,88003000,R,1,DESIGNATED,0.639,1.973,2147.3212
2402,86050000,L,1,DESIGNATED,15.859,15.958,159.3258
2403,87060000,R,1,DESIGNATED,10.552,11.592,1674.4842
2404,87080001,R,1,DESIGNATED,2.945,3.079,211.818
2405,87090000,L,1,DESIGNATED,1.069,1.104,56.3743
2406,75080000,L,1,DESIGNATED,7.77,7.884,183.4269
2407,75260000,R,1,DESIGNATED,0.8,2.206,2267.9437
2408,86000286,R,1,DESIGNATED,0,0.26,418.3451
2409,86000432,L,1,DESIGNATED,0,2.247,3622.0672
2410,86006000,R,1,DESIGNATED,3.03,3.299,432.5852
2411,86014000,L,1,DESIGNATED,1.022,1.208,299.352
2412,75000363,L,1,DESIGNATED,0.707,0.93,359.1593
2414,75000197,L,1,DESIGNATED,0,0.926,1486.0967
2415,58040000,L,1,DESIGNATED,0.219,6.692,10461.6154
2416,58030000,R,1,DESIGNATED,5.472,5.517,72.808
2417,58030000,L,1,DESIGNATED,23.235,23.279,71.1236
2418,58030000,L,1,DESIGNATED,20.435,20.48,72.7158
2419,58030000,L,1,DESIGNATED,19.53,19.59,96.9915
2420,74130000,L,1,DESIGNATED,3.176,3.261,136.7979
2421,74130000,R,1,DESIGNATED,3.312,3.787,764.4845
2422,75000456,L,1,DESIGNATED,0.845,1.121,443.8486
2423,75050000,L,1,DESIGNATED,4.149,4.343,312.3369
2424,75050000,R,1,DESIGNATED,0,0.917,1476.5717
2425,75000404,L,1,DESIGNATED,0.251,0.648,640.5718
2426,75000413,R,1,DESIGNATED,0,0.172,279.7437
2427,89000013,L,1,DESIGNATED,0.798,1.131,536.751
2428,89000056,L,1,DESIGNATED,0.363,0.464,163.5289
2429,89030000,L,1,DESIGNATED,26.633,28.458,2937.0061
2430,89040000,L,1,DESIGNATED,3.335,4.849,2437.3475
2431,57030000,L,1,DESIGNATED,12.954,13.065,179.247
2432,57030000,L,1,DESIGNATED,12.585,12.645,96.9215
2435,86000051,R,1,DESIGNATED,1.27,2.369,1767.6986
2436,86000073,R,1,DESIGNATED,2.238,3.898,2667.5848
2437,60530001,C,1,DESIGNATED,2.879,3.515,1026.2477
2438,60518000,C,1,DESIGNATED,0.154,1.597,2324.4866
2439,72080000,R,1,DESIGNATED,3.917,4.797,1417.9976
2440,72100000,L,1,DESIGNATED,9.25,9.63,612.0503
2441,72710000,R,1,DESIGNATED,0,0.194,312.3893
2442,79010000,L,1,DESIGNATED,24.229,26.866,4242.9594
2443,79010000,R,1,DESIGNATED,29.402,30.5,1766.6972
2444,78510000,R,1,DESIGNATED,6.821,6.86,62.666
2445,78510000,R,1,DESIGNATED,7.845,8.002,252.6427
2446,78510000,L,1,DESIGNATED,5.944,6.023,127.206
2447,78510000,L,1,DESIGNATED,6.878,6.926,77.3047
2448,76050000,L,1,DESIGNATED,20.288,23.731,5538.8991
2449,77010000,R,1,DESIGNATED,0,1.042,1679.2334
2450,87150000,R,1,DESIGNATED,2.567,3.286,1154.6624
2451,87160000,R,1,DESIGNATED,8.089,8.598,817.4419
2452,87504504,L,1,DESIGNATED,1.246,1.293,75.6779
2453,87504504,R,1,DESIGNATED,0.183,0.292,175.5239
2454,88060001,R,1,DESIGNATED,0,1.267,2039.3327
2455,86040000,R,1,DESIGNATED,5.07,10.59,8878.7265
2456,86040005,R,1,DESIGNATED,0.215,0.289,120.9326
2457,87080001,R,1,DESIGNATED,1.426,1.462,57.9837
2458,87080001,R,1,DESIGNATED,2.167,2.246,127.3511
2459,75250000,R,1,DESIGNATED,1.901,2.533,1016.7012
2460,75251000,L,1,DESIGNATED,0.125,2.165,3288.6799
2461,86000250,R,1,DESIGNATED,0,3.139,5051.4395
2462,86000492,R,1,DESIGNATED,1.641,2.25,979.2472
2463,86003000,R,1,DESIGNATED,0.536,0.902,589.6811
2464,86028000,L,1,DESIGNATED,5.968,7.238,2045.6229
2465,86030000,L,1,DESIGNATED,2.419,3.972,2505.8793
2466,75000313,R,1,DESIGNATED,0.105,0.332,365.7771
2467,75000319,R,1,DESIGNATED,0,1.105,1772.5013
2468,58010000,R,1,DESIGNATED,15.879,16.416,867.6224
2469,58010000,R,1,DESIGNATED,12.714,13.304,953.342
2470,58010000,R,1,DESIGNATED,6.139,9.139,4847.5476
2471,74110000,L,1,DESIGNATED,3.683,4.823,1843.2234
2472,74040000,L,1,DESIGNATED,27.733,30.033,3702.4054
2474,75011002,R,1,DESIGNATED,36.655,36.781,201.4553
2475,75050000,L,1,DESIGNATED,0,0.319,513.6495
2476,75000381,R,1,DESIGNATED,5.162,6.218,1700.6396
2477,75000403,L,1,DESIGNATED,0.364,0.939,924.7506
2478,89010000,L,1,DESIGNATED,23.318,24.476,1863.7407
2479,89010000,R,1,DESIGNATED,20.88,21.047,268.8667
2482,57000113,C,1,DESIGNATED,0.073,0.295,357.6807
2486,60090000,R,1,DESIGNATED,6.086,6.747,1066.2289
2487,70004000,L,1,DESIGNATED,0.661,0.804,230.5365
2489,72193000,L,1,DESIGNATED,7.857,9.026,1882.0147
2490,72220001,L,1,DESIGNATED,0,0.184,293.7953
2491,79150000,L,1,DESIGNATED,0.896,0.97,118.3747
2492,79150000,R,1,DESIGNATED,1.11,1.427,507.0484
2493,78550000,L,1,DESIGNATED,1.579,1.688,175.3325
2494,79000009,R,1,DESIGNATED,4.756,5.448,1113.1485
2495,78051000,L,1,DESIGNATED,10.399,17.762,11845.7673
2496,78060000,R,1,DESIGNATED,20.383,20.603,354.2758
2497,75270000,L,1,DESIGNATED,2.991,6.986,6463.9757
2498,76010000,L,1,DESIGNATED,5.551,5.831,450.2171
2499,78002000,L,1,DESIGNATED,2.594,2.827,375.3242
